,H = 0.001,Time(H = 0.001),H(Exact)0.001,H = 0.01,Time(H = 0.01),H(Exact)0.01,H = 0.25,Time(H = 0.25),H(Exact)0.25,H = 0.5,Time(H = 0.5),H(Exact)0.5,H = 0.75,Time(H = 0.75),H(Exact)0.75,H = 1,Time(H = 1),H(Exact)0.75
0,0.03964191329610115,0.010000000000000002,1.0198013266932446,0.3658543862249063,0.09999999999999999,1.1812692469220183,1.0,0.25,1.3934693402873666,2.0,0.5,1.6321205588285577,3.0,0.75,1.77686983985157,4.0,1.0,1.8646647167633872
1,0.07849808594731451,0.02000000000000001,1.039210560847677,0.664784056489811,0.20000000000000004,1.329679953964361,1.5,0.5,1.6321205588285577,2.0,1.0,1.8646647167633872,1.5,1.5,1.9502129316321362,0.0,2.0,1.9816843611112658
2,0.116584092084899,0.03000000000000002,1.0582354664157512,0.9090313612351256,0.3000000000000001,1.4511883639059737,1.75,0.75,1.77686983985157,2.0,1.5,1.9502129316321362,2.25,2.25,1.9888910034617577,4.0,3.0,1.9975212478233337
3,0.15391519714593302,0.04000000000000003,1.0768836536133644,1.108599192098098,0.4000000000000002,1.5506710358827787,1.875,1.0,1.8646647167633872,2.0,2.0,1.9816843611112658,1.875,3.0,1.9975212478233337,0.0,4.0,1.9996645373720976
4,0.1905063639919285,0.05000000000000004,1.0951625819640405,1.2716606398257657,0.5000000000000002,1.6321205588285579,1.9375,1.25,1.9179150013761013,2.0,2.5,1.9932620530009146,2.0625,3.75,1.9994469156298522,4.0,5.0,1.9999546000702375
5,0.2263722589061679,0.060000000000000046,1.1130795632828425,1.4048937146157585,0.6000000000000003,1.698805788087798,1.96875,1.5,1.9502129316321362,2.0,3.0,1.9975212478233337,1.96875,4.5,1.9998765901959132,0.0,6.0,1.9999938557876467
6,0.26152725747216865,0.07000000000000005,1.1306417646011941,1.5137548370046763,0.7000000000000004,1.7534030360583936,1.984375,1.75,1.9698026165776814,2.0,3.5,1.9990881180344455,2.015625,5.25,1.9999724635506502,2.0,7.0,0.9999991684712809
7,0.29598545033563045,0.08000000000000006,1.1478562110337887,1.6027022998359184,0.8000000000000005,1.7981034820053448,1.9921875,2.0,1.9816843611112658,2.0,4.0,1.9996645373720976,0.4921875,6.0,0.9999938557876467,0.0,8.0,0.9999998874648253
8,0.3297606488521753,0.09000000000000007,1.164729788588728,1.6753788529569669,0.9000000000000006,1.8347011117784136,1.99609375,2.25,1.9888910034617577,2.0,4.5,1.9998765901959132,1.25390625,6.75,0.9999986290409136,2.0,9.0,0.9999999847700203
9,0.36286639062314446,0.10000000000000007,1.1812692469220183,1.734760888210494,1.0000000000000007,1.8646647167633874,1.998046875,2.5,1.9932620530009146,2.0,5.0,1.9999546000702375,0.873046875,7.5,0.9999996940976795,0.0,10.0,0.9999999979388464
10,0.3953159449216697,0.11000000000000008,1.1974812020375216,1.7832803344337884,1.1000000000000008,1.8891968416376663,1.9990234375,2.75,1.995913228561536,2.0,5.5,1.9999832982992098,1.0634765625,8.25,0.9999999317439663,2.0,11.0,0.9999999997210532
11,0.4271223180111953,0.12000000000000009,1.2133721389334466,1.8229242545480853,1.2000000000000008,1.9092820467105875,1.99951171875,3.0,1.9975212478233337,1.0,6.0,0.9999938557876467,0.96826171875,9.0,0.9999999847700203,4.0,12.0,2.999999999962249
12,0.4582982583585817,0.1300000000000001,1.228948414196434,1.8553162236318992,1.300000000000001,1.9257264217856662,1.999755859375,3.25,1.9984965608070224,1.0,6.5,0.999997739670593,1.015869140625,9.75,0.9999999966017322,2.0,13.0,2.9999999999948908
13,0.48885626174388036,0.1400000000000001,1.2442162585442746,1.881782820731826,1.400000000000001,1.939189937374782,1.9998779296875,3.5,1.9990881180344455,1.0,7.0,0.9999991684712809,0.9920654296875,10.5,0.999999999241744,4.0,14.0,2.9999999999993086
14,0.5188085762688279,0.1500000000000001,1.2591817793182822,1.903407957513025,1.500000000000001,1.9502129316321362,1.99993896484375,3.75,1.9994469156298522,1.0,7.5,0.9999996940976795,4.00396728515625,11.25,2.99999999983081,2.0,15.0,2.9999999999999063
15,0.5481672072660678,0.16000000000000011,1.2738509629263093,1.921077268722166,1.6000000000000012,1.9592377960216338,1.999969482421875,4.0,1.9996645373720976,1.0,8.0,0.9999998874648253,2.498016357421875,12.0,2.999999999962249,4.0,16.0,2.999999999999987
16,0.5769439221110653,0.17000000000000012,1.2882296772373905,1.9355143824275887,1.7000000000000013,1.966626730039674,1.9999847412109375,4.25,1.9997965316309894,1.0,8.5,0.9999999586006229,3.2509918212890625,12.75,2.9999999999915765,,,
17,0.6051502549386468,0.18000000000000013,1.302323673928969,1.9473105554462329,1.8000000000000014,1.9726762775527076,1.9999923706054688,4.5,1.9998765901959132,1.0,9.0,0.9999999847700203,2.8745040893554688,13.5,2.9999999999981206,,,
18,0.6327975112660524,0.19000000000000014,1.3161385907876442,1.9569488876451078,1.9000000000000015,1.9776292281438346,1.9999961853027344,4.75,1.9999251481701124,1.0,9.5,0.9999999943972036,3.0627479553222656,14.25,2.999999999999581,,,
19,0.6598967725243547,0.20000000000000015,1.329679953964361,1.9648241067885572,2.0000000000000013,1.9816843611112658,1.9999980926513672,5.0,1.9999546000702375,1.0,10.0,0.9999999979388464,2.968626022338867,15.0,2.9999999999999063,,,
20,0.6864589005000622,0.21000000000000016,1.3429531801849435,1.97125873419895,2.099999999999999,1.9850044231795223,1.9999990463256836,5.25,1.9999724635506502,1.0,10.5,0.999999999241744,3.0156869888305664,15.75,2.999999999999979,,,
21,0.7124945416886831,0.22000000000000017,1.355963578916859,1.976516293278435,2.199999999999997,1.9877226600969315,1.4999995231628418,5.5,0.9999832982992097,3.0,11.0,2.9999999997210534,,,,,,
22,0.7380141315620001,0.23000000000000018,1.3687163544930743,1.980812101832887,2.299999999999995,1.9899481642553662,1.249999761581421,5.75,0.9999898699064014,3.0,11.5,2.999999999897381,,,,,,
23,0.7630278987507622,0.24000000000000019,1.3812166081938595,1.9843220901863245,2.399999999999993,1.9917702529509798,1.1249998807907104,6.0,0.9999938557876467,3.0,12.0,2.999999999962249,,,,,,
24,0.7875458691444713,0.25000000000000017,1.3934693402873668,1.9871900062224104,2.4999999999999907,1.9932620530009144,1.0624999403953552,6.25,0.999996273346828,3.0,12.5,2.999999999986112,,,,,,
25,0.8115778699099089,0.2600000000000002,1.4054794520298057,1.9895333024279327,2.5999999999999885,1.9944834355792391,1.0312499701976776,6.5,0.999997739670593,3.0,13.0,2.9999999999948908,,,,,,
26,0.8351335334300084,0.2700000000000002,1.4172517476260107,1.9914479460359478,2.6999999999999864,1.9954834190573871,1.0156249850988388,6.75,0.9999986290409136,3.0,13.5,2.9999999999981206,,,,,,
27,0.85822230116466,0.2800000000000002,1.4287909361511852,1.993012349262938,2.7999999999999843,1.996302136283517,1.0078124925494194,7.0,0.9999991684712809,3.0,14.0,2.9999999999993086,,,,,,
28,0.8808534274349862,0.2900000000000002,1.4401016334345982,1.9942905805987188,2.899999999999982,1.996972445254624,1.0039062462747097,7.25,0.9999994956523375,3.0,14.5,2.9999999999997455,,,,,,
29,0.9030359831326118,0.3000000000000002,1.451188363905974,1.9953349886640968,2.99999999999998,1.9975212478233335,1.0019531231373549,7.5,0.9999996940976795,3.0,15.0,2.9999999999999063,,,,,,
30,0.9247788593554116,0.3100000000000002,1.4620555624053257,1.9961883460936112,3.099999999999978,1.9979705693637042,1.0009765615686774,7.75,0.9999998144608637,3.0,15.5,2.9999999999999654,,,,,,
31,0.9460907709711955,0.32000000000000023,1.4727075759569517,1.996885601243823,3.1999999999999758,1.998338442726826,1.0004882807843387,8.0,0.9999998874648253,,,,,,,,,
32,0.9669802601107559,0.33000000000000024,1.483148665508301,1.9974553094665235,3.2999999999999736,1.998639631962452,1.0002441403921694,8.25,0.9999999317439663,,,,,,,,,
33,0.987455699591681,0.34000000000000025,1.4933830076344106,1.997920802563152,3.3999999999999715,1.998886224852155,1.0001220701960847,8.5,0.9999999586006229,,,,,,,,,
34,1.007525296274305,0.35000000000000026,1.5034146962085908,1.9983011443142014,3.4999999999999694,1.9990881180344455,1.0000610350980423,8.75,0.9999999748900085,,,,,,,,,
35,1.027197094351139,0.36000000000000026,1.5132477440400285,1.9986119112163077,3.5999999999999672,1.9992534141916232,1.0000305175490212,9.0,0.9999999847700203,,,,,,,,,
36,1.0464789785711028,0.3700000000000003,1.5228860844789658,1.9988658304012996,3.699999999999965,1.9993887472388703,1.0000152587745106,9.25,0.9999999907625503,,,,,,,,,
37,1.0653786773998497,0.3800000000000003,1.532333572990091,1.9990733008625035,3.799999999999963,1.9994995485665594,1.0000076293872553,9.5,0.9999999943972036,,,,,,,,,
38,1.0839037661174509,0.3900000000000003,1.5415939886947767,1.9992428193345853,3.899999999999961,1.9995902650210202,1.0000038146936276,9.75,0.9999999966017322,,,,,,,,,
39,1.1020616698546792,0.4000000000000003,1.5506710358827787,1.9993813282683885,3.9999999999999587,1.9996645373720974,1.0000019073468138,10.0,0.9999999979388464,,,,,,,,,
40,1.1198596665691127,0.4100000000000003,1.559568345494001,1.9994945001517104,4.099999999999957,1.9997253464300278,1.000000953673407,10.25,0.9999999987498471,,,,,,,,,
41,1.137304889962247,0.4200000000000003,1.5682894765709205,1.9995869698200772,4.199999999999955,1.999775132675821,2.0000004768367035,10.5,2.999999999241744,,,,,,,,,
42,1.154404332338791,0.4300000000000003,1.5768379176822513,1.9996625242715613,4.299999999999953,1.9998158942063324,2.5000002384183517,10.75,2.9999999995400946,,,,,,,,,
43,1.171164847409283,0.44000000000000034,1.585217088318419,1.9997242577593084,4.399999999999951,1.9998492669249046,2.750000119209176,11.0,2.9999999997210534,,,,,,,,,
44,1.1875931530371637,0.45000000000000034,1.5934303402594012,1.9997746985134206,4.4999999999999485,1.9998765901959132,2.875000059604588,11.25,2.99999999983081,,,,,,,,,
45,1.2036958339313935,0.46000000000000035,1.6014809589154861,1.9998159122819648,4.599999999999946,1.999898960598163,2.937500029802294,11.5,2.999999999897381,,,,,,,,,
