,Weights_data
71,"[0.46590989496503593, 0.3559235025913749, -0.33160556652688317, -0.13049937404364267]"
72,"[0.5086783449564549, 0.3986919525827936, -0.28883711653546446, -0.08773092405222446]"
73,"[0.5221416037550691, 0.4121552113814081, -0.27537385773684997, -0.07426766525361005]"
74,"[0.4926818901864026, 0.3826954978127416, -0.30483357130551647, -0.10372737882227659]"
75,"[0.4857266623063589, 0.3757402699326979, -0.3117887991855602, -0.11068260670232034]"
76,"[0.5214144696289845, 0.4114280772553235, -0.2761009918629346, -0.07499479937969443]"
77,"[0.5350431809269505, 0.4250567885532891, -0.26247228056496896, -0.06136608808172875]"
78,"[0.5153664464208605, 0.4053800540471995, -0.28214901507105855, -0.08104282258781863]"
79,"[0.5212666311392828, 0.4112802387656217, -0.27624883035263637, -0.07514263786939628]"
80,"[0.4915945487195514, 0.38160815634589035, -0.3059209127723677, -0.10481472028912744]"
81,"[0.49103613023622816, 0.38104973786256713, -0.30647933125569093, -0.1053731387724508]"
82,"[0.5040991252222439, 0.39411273284858267, -0.2934163362696754, -0.09231014378643528]"
83,"[0.5142328088190935, 0.4042464164454324, -0.28328265267282565, -0.08217646018958578]"
84,"[0.5318518445560776, 0.4218654521824163, -0.2656636169358418, -0.06455742445260175]"
85,"[0.46612915003062055, 0.3561427576569595, -0.33138631146129854, -0.13028011897805827]"
86,"[0.49255578798809496, 0.3825693956144339, -0.30495967350382414, -0.10385348102058424]"
87,"[0.5107404319556706, 0.40075403958200984, -0.2867750295362482, -0.0856688370530081]"
88,"[0.4646262313666199, 0.35463983899295887, -0.3328892301252992, -0.13178303764205937]"
89,"[0.5005843229983129, 0.390597930624652, -0.2969311384936061, -0.09582494601036592]"
90,"[0.5533459558515726, 0.443359563477912, -0.2441695056403462, -0.04306331315710627]"
91,"[0.4841472642999199, 0.37416087192625885, -0.3133681971919992, -0.11226200470875938]"
92,"[0.4967309655635517, 0.38674457318989064, -0.3007844959283674, -0.09967830344512751]"
93,"[0.5381094617827074, 0.42812306940904604, -0.259405999709212, -0.058299807225972]"
94,"[0.5252909848775049, 0.4153045925038436, -0.27222447661441446, -0.07111828413117444]"
95,"[0.49797705945418524, 0.3879906670805242, -0.29953840203773385, -0.0984322095544936]"
96,"[0.5635531926821673, 0.45356680030850655, -0.2339622688097515, -0.03285607632651143]"
97,"[0.5243608411044658, 0.4143744487308044, -0.27315462038745364, -0.0720484279042136]"
98,"[0.5421156893952425, 0.4321292970215811, -0.25539977209667697, -0.05429357961343685]"
99,"[0.509384855707492, 0.3993984633338313, -0.2881306057844268, -0.08702441330118664]"
100,"[0.3835103773031065, 0.27352398492944546, -0.4140050841888126, -0.2128988917055724]"
101,"[0.30660654473432486, 0.19662015236066388, -0.49090891675759424, -0.28980272427435416]"
102,"[0.2999196727562957, 0.18993328038263466, -0.4975957887356234, -0.2964895962523832]"
103,"[0.2828484001252795, 0.17286200775161822, -0.5146670613666398, -0.3135608688833995]"
104,"[0.28582242456442214, 0.1758360321907607, -0.5116930369274972, -0.3105868444442569]"
105,"[0.2780284453621049, 0.168042052988444, -0.5194870161298135, -0.31838082364657416]"
106,"[0.2915447459461853, 0.18155835357252448, -0.5059707155457338, -0.30486452306249373]"
107,"[0.28811011587905944, 0.1781237235053982, -0.5094053456128596, -0.3082991531296196]"
108,"[0.27827251329933383, 0.16828612092567263, -0.5192429481925852, -0.3181367557093452]"
109,"[0.2777874283683181, 0.16780103599465718, -0.519728033123601, -0.3186218406403609]"
110,"[0.276008527654541, 0.16602213528087992, -0.5215069338373785, -0.32040074135413804]"
111,"[0.2849547741357215, 0.17496838176206037, -0.5125606873561978, -0.3114544948729575]"
112,"[0.28051998758453256, 0.17053359521087144, -0.5169954739073865, -0.31588928142414646]"
113,"[0.2771194269521267, 0.16713303457846554, -0.5203960345397927, -0.3192898420565523]"
114,"[0.28482606564030516, 0.17483967326664393, -0.5126893958516141, -0.31158320336837386]"
115,"[0.28569340244664626, 0.1757070100729853, -0.5118220590452731, -0.31071586656203276]"
116,"[0.27757867378124096, 0.16759228140757979, -0.5199367877106783, -0.31883059522743806]"
