,Weights_data
72,"[0.48175807583610286, -0.10975420580769876, 0.15711105611329584, 0.27521496587062044]"
73,"[0.4679842864942965, -0.12352799514950422, 0.14333726677149017, 0.2614411765288147]"
74,"[0.45490568206911325, -0.13660659957468801, 0.13025866234630806, 0.24836257210363194]"
75,"[0.44239348016460645, -0.14911880147919648, 0.1177464604417999, 0.23585037019912472]"
76,"[0.4303429927244357, -0.1611692889193633, 0.10569597300163244, 0.22379988275895632]"
77,"[0.41866904018119633, -0.17284324146260216, 0.09402202045839328, 0.2121259302157169]"
78,"[0.4073022637615937, -0.18421001788220903, 0.08265524403878707, 0.20075915379611195]"
79,"[0.3961861519464356, -0.1953261296973648, 0.07153913222363123, 0.18964304198095513]"
80,"[0.38527463729264944, -0.2062376443511522, 0.06062761756984377, 0.17873152732716763]"
81,"[0.3745301505005638, -0.21698213114323583, 0.04988313077775888, 0.16798704053508323]"
82,"[0.36392204222093544, -0.2275902394228649, 0.039275022498131175, 0.15737893225545507]"
83,"[0.35342530141790246, -0.2380869802258982, 0.028778281695098086, 0.1468821914524221]"
84,"[0.3430195134266967, -0.24849276821710117, 0.018372493703891178, 0.1364764034612157]"
85,"[0.33268801211480287, -0.25882426952899773, 0.008040992391997334, 0.12614490214932186]"
86,"[0.32241718947513576, -0.2690950921686657, -0.0022298302476703967, 0.1158740795096543]"
87,"[0.31219593307509275, -0.2793163485687074, -0.01245108664771098, 0.10565282310961285]"
88,"[0.30201516745407003, -0.2894971141897289, -0.022631852268736246, 0.09547205748858827]"
89,"[0.2918674801078841, -0.29964480153591383, -0.03277953961492162, 0.08532437014240277]"
90,"[0.2817468163555053, -0.3097654652882911, -0.04290020336729804, 0.07520370639002577]"
91,"[0.27164823033318414, -0.31986405131061296, -0.052998789389619605, 0.06510512036770424]"
92,"[0.26156768174564204, -0.3299445998981578, -0.06307933797716182, 0.055024571780162464]"
93,"[0.25150186993525886, -0.34001041170853896, -0.0731451497875451, 0.04495875996977878]"
94,"[0.24144809839682402, -0.3500641832469725, -0.08319892132598077, 0.034904988431342876]"
95,"[0.23140416413787068, -0.3601081175059275, -0.09324285558493572, 0.024861054172388035]"
96,"[0.22136826731912143, -0.37014401432467403, -0.10327875240368267, 0.014825157353640768]"
97,"[0.21133893745165322, -0.38017334419214643, -0.11330808227115208, 0.0047958274861725145]"
98,"[0.20131497311292756, -0.39019730853087414, -0.12333204660987863, -0.0052281368525536435]"
99,"[0.19129539270264057, -0.40021688894116014, -0.13335162702016545, -0.015247717262840695]"
100,"[0.7225828317421068, 0.1310705500983056, 0.3979358120193018, 0.5160397217766268]"
101,"[1.09134733673296, 0.49983505508916176, 0.7667003170101551, 0.8848042267674789]"
102,"[1.5766760154739283, 0.9851637338301312, 1.2520289957511246, 1.3701329055084488]"
103,"[2.07844435413411, 1.486932072490309, 1.753797334411304, 1.8719012441686287]"
104,"[2.552407829357826, 1.96089554771403, 2.2277608096350225, 2.3458647193923468]"
105,"[2.961673221769108, 2.370160940125308, 2.637026202046303, 2.755130111803627]"
106,"[3.337881699745709, 2.7463694181019114, 3.013234680022905, 3.1313385897802286]"
107,"[3.6410997814260373, 3.04958749978224, 3.3164527617032333, 3.434556671460557]"
108,"[3.9053215402823973, 3.3138092586385968, 3.5806745205595916, 3.698778430316916]"
109,"[4.0857818818720375, 3.4942696002282383, 3.7611348621492326, 3.879238771906557]"
110,"[4.271922456593731, 3.6804101749499316, 3.947275436870926, 4.06537934662825]"
111,"[4.388960804681323, 3.7974485230375254, 4.06431378495852, 4.182417694715844]"
112,"[4.4706045018702065, 3.879092220226411, 4.145957482147404, 4.264061391904727]"
113,"[4.551298154463019, 3.959785872819222, 4.226651134740215, 4.344755044497539]"
114,"[4.578565961288251, 3.9870536796444527, 4.253918941565447, 4.372022851322771]"
115,"[4.614314403759317, 4.022802122115518, 4.289667384036512, 4.407771293793836]"
116,"[4.63318747692087, 4.041675195277069, 4.308540457198064, 4.426644366955389]"
117,"[4.6086191933213945, 4.0171069116775975, 4.283972173598591, 4.402076083355914]"
118,"[4.601861804234278, 4.010349522590482, 4.277214784511475, 4.3953186942687985]"
119,"[4.585591739912658, 3.99407945826886, 4.260944720189854, 4.379048629947178]"
120,"[4.561485736144677, 3.969973454500881, 4.2368387164218735, 4.354942626179198]"
121,"[4.530932681798444, 3.939420400154642, 4.206285662075637, 4.324389571832962]"
122,"[4.495080402304793, 3.9035681206609976, 4.17043338258199, 4.288537292339314]"
123,"[4.45487576330474, 3.863363481660938, 4.130228743581933, 4.248332653339258]"
124,"[4.411098705556387, 3.8195864239125914, 4.086451685833586, 4.20455559559091]"
125,"[4.364390910984836, 3.772878629341038, 4.039743891262033, 4.157847801019357]"
126,"[4.315279806085844, 3.7237675244420463, 3.9906327863630406, 4.108736696120365]"
127,"[4.234269870869273, 3.642757589225473, 3.909622851146468, 4.027726760903793]"
128,"[4.1815610093455415, 3.590048727701742, 3.8569139896227367, 3.975017899380062]"
129,"[4.127531633762538, 3.536019352118738, 3.8028846140397325, 3.9209885237970576]"
130,"[4.072420496209427, 3.480908214565627, 3.7477734764866217, 3.8658773862439464]"
131,"[4.016423315789909, 3.4249110341461124, 3.691776296067105, 3.809880205824429]"
132,"[3.9597004906748947, 3.3681882090310977, 3.6350534709520907, 3.753157380709415]"
133,"[3.902383442793862, 3.3108711611500614, 3.5777364230710558, 3.695840332828381]"
134,"[3.8445798326561547, 3.2530675510123523, 3.5199328129333476, 3.638036722690673]"
135,"[3.7863778422234, 3.1948655605796, 3.461730822500594, 3.579834732257919]"
136,"[3.727849690195431, 3.136337408551631, 3.4032026704726253, 3.5213065802299504]"
137,"[3.6690545158208145, 3.077542234177013, 3.344407496098008, 3.4625114058553335]"
138,"[3.6100407436965387, 3.0185284620527373, 3.2853937239737325, 3.403497633731058]"
139,"[3.550848022316777, 2.959335740672979, 3.2262010025939727, 3.344304912351298]"
140,"[3.491508812768467, 2.899996531124677, 3.166861793045671, 3.2849657028029964]"
141,"[3.4320496904228266, 2.8405374087790265, 3.107402670700021, 3.225506580457346]"
142,"[3.3724924112773764, 2.7809801296335763, 3.0478453915545707, 3.1659493013118962]"
143,"[3.3128547853709036, 2.721342503727105, 2.9882077656480988, 3.106311675405424]"
144,"[3.2531513920891855, 2.661639110445384, 2.9285043723663793, 3.0466082821237044]"
145,"[3.1933941659250964, 2.601881884281296, 2.86874714620229, 2.9868510559596158]"
146,"[3.1335928761149154, 2.542080594471117, 2.8089458563921115, 2.9270497661494357]"
147,"[3.0737555193515074, 2.4822432377077077, 2.749108499628702, 2.867212409386027]"
148,"[3.01388864130913, 2.4223763596653316, 2.6892416215863255, 2.80734553134365]"
149,"[2.9539975998725505, 2.362485318228753, 2.6293505801497465, 2.747454489907071]"
